('RSSMRA80A01H501Z', 'Mario', 'Rossi', '0', '+', '+393315849201'),
('TBLSTL90B51F205Z', 'Claudia', 'Galli', '0', '+', '+393409827364'),
('RMNCMN91C52M312T', 'Diana', 'Minerva', 'A', '+', '3338475612'),
('QKGRVV85D53H501T', 'Gabriele', 'Vitali', '0', '+', '+393318475629'),
('TRCLAR92E54L219V', 'Simona', 'Colombo', 'A', '-', '3475839201'),
('GSNMCS84F55M312X', 'Emilia', 'Santoro', '0', '+', '+393384950291'),
('LNGRTN81G56D205W', 'Giulia', 'Cavalli', 'A', '+', '3394857261'),
('HCGGTC82H57L219Y', 'Matteo', 'Giorgi', '0', '+', '+393459827364'),
('LRSSRP92I58F205V', 'Beatrice', 'Rossi', 'B', '+', '3338475612'),
('PTCGGR90J59M312Z', 'Francesca', 'Carlo', '0', '-', '+393318475629'),
('QLFNRN85K60H501P', 'Angela', 'Lupi', 'A', '+', '3495867123'),
('DSSNMM84L61D205W', 'Fabio', 'Martino', '0', '+', '+393209847561'),
('FRVLBN80M62L219T', 'Sabrina', 'Bellucci', 'A', '+', '3284756192'),
('CTNNVG91N63F205X', 'Vincenza', 'Antoni', '0', '+', '+393475869201'),
('PNSTSN93P64M312Y', 'Ludovica', 'Gallo', 'A', '+', '3348576920'),
('RBLGSB85Q65D205Y', 'Sofia', 'Lombardi', '0', '+', '+393804958671'),
('GPPFQX86R66M312Z', 'Matteo', 'Filippo', 'A', '-', '3384756291'),
('TMMLNS87S67F205W', 'Carla', 'Mocciola', 'B', '+', '+393495867123'),
('SRFSDR88T68L219V', 'Cristina', 'Gatti', '0', '+', '3409827364'),
('PLFGRV89U69H501P', 'Federico', 'Rosati', 'A', '+', '+393338475612'),
('NGFLST80V70M312S', 'Simone', 'Mocchetti', '0', '+', '3318475629'),
('QBBRNS81W71D205X', 'Ilaria', 'Bruno', 'A', '+', '+393475839201'),
('TRNVRL92X72F205Z', 'Emanuela', 'Caselli', '0', '-', '3384950291'),
('RPNCSL83Y73L219T', 'Annalisa', 'Canova', 'A', '+', '+393394857261'),
('PTFLGG85Z74M312Y', 'Francesco', 'Verdi', '0', '+', '3459827364'),
('QRLTNL86A75H501U', 'Marcella', 'Tufano', 'AB', '+', '+393338475612'),
('BSGLTM87B76D205P', 'Michele', 'Gennaro', '0', '+', '3318475629'),
('TMRPBN92C77L219V', 'Fabiola', 'Molina', 'A', '+', '+393495867123'),
('GLNNGL93D78H501T', 'Claudio', 'Meloni', '0', '+', '3209847561'),
('PTCTVR94E79F205W', 'Giuliana', 'Bianchi', 'A', '+', '+393284756192'),
('MNTCLS85F80M312Y', 'Miriam', 'Montagna', 'B', '+', '3475869201'),
('FBKDSB86G81D205X', 'Stefano', 'Bassetti', '0', '+', '+393348576920'),
('DTCMHR90H82L219Z', 'Luana', 'Lombradi', 'A', '-', '3804958671'),
('SFTNTN91I83M312W', 'Sofia', 'Morandi', '0', '+', '+393384756291'),
('GNGFCT94J84H501U', 'Giacomo', 'Forleo', 'A', '+', '3495867123'),
('NVRLSB85K85D205Y', 'Sabrina', 'Benedetti', '0', '+', '+393409827364'),
('PCLBRM86L86M312V', 'Luca', 'Motta', 'A', '+', '3338475612'),
('NLSMRV87M87L219T', 'Fiorenza', 'Serra', '0', '-', '+393318475629'),
('QSRGCT88N88H501W', 'Pierpaolo', 'Giorgi', 'A', '+', '3475839201'),
('RNPLMR89O89D205X', 'Marta', 'Baciocchi', '0', '+', '+393384950291'),
('TRMLCR91P90M312Y', 'Lorenzo', 'Calvi', 'A', '+', '3394857261'),
('GRPNSM82Q91L219U', 'Roberta', 'Nori', '0', '+', '+393459827364'),
('LPTMLV93R92H501V', 'Giorgia', 'Pellizzari', 'B', '+', '3338475612'),
('MNTGGR94S93D205Z', 'Simone', 'Gnassi', 'A', '+', '+393318475629'),
('TQFCSN85T94M312Y', 'Stefano', 'Guarnieri', '0', '+', '3495867123'),
('SPSLRG86U95D205W', 'Francesca', 'Pietro', 'A', '-', '+393209847561'),
('LFGTMT87V96H501P', 'Filippo', 'Tufano', '0', '+', '3284756192'),
('QBRLMT88W97D205V', 'Angela', 'Di Mauro', 'A', '+', '+393475869201'),
('NPSMTN89X98M312T', 'Michele', 'Sarti', '0', '+', '3348576920'),
('BRSSNC90Y99L219Z', 'Gianluca', 'Salvini', '0', '-', '+393804958671'),
('RLTCSM91A00H501S', 'Margherita', 'Malavolta', 'A', '+', '3384756291'),
('CPTVRS82B01D205X', 'Enrico', 'Zanetti', 'B', '+', '+393495867123'),
('LNRBSF83C02M312W', 'Alessandra', 'Fioretti', '0', '+', '3409827364'),
('GFGTNV84D03L219T', 'Valeria', 'Farina', 'A', '+', '+393338475612'),
('DHLMSC85E04H501Y', 'Francesca', 'Masi', '0', '+', '3318475629'),
('PNRRNS86F05D205X', 'Riccardo', 'Nuzzi', 'A', '+', '+393475839201'),
('TDSMLC87G06M312V', 'Stefania', 'Martelli', '0', '+', '3384950291'),
('CLTRSR88H07L219W', 'Luciana', 'Tornero', 'A', '-', '+393394857261'),
('GRSSMM89I08D205Z', 'Michela', 'Geraci', '0', '+', '3459827364'),
('PNFTRN90J09M312S', 'Fabrizio', 'Ruggeri', 'A', '+', '+393338475612'),
('FRCTGL91K10L219P', 'Alessandra', 'Genova', 'AB', '+', '3318475629'),
('PRFNSM92L11H501T', 'Marta', 'Lancellotti', '0', '+', '+393495867123'),
('TNFLRL93M12D205X', 'Francesco', 'Carmen', 'A', '+', '3209847561'),
('SBGDLN94N13M312Y', 'Valeria', 'Mariani', '0', '-', '+393284756192'),
('DMVRTT85O14H501U', 'Giuseppe', 'Perri', 'A', '+', '3475869201'),
('BCLRTN86P15D205Z', 'Giuliana', 'Gerosa', '0', '+', '+393348576920'),
('BTNSNM84Q16M312Y', 'Daniele', 'Benedetti', 'B', '+', '3804958671'),
('MRGRLS92R17D205T', 'Sabrina', 'Ghetti', '0', '+', '+393384756291'),
('PNMRCR85S18M312Z', 'Giovanna', 'Cammarota', 'A', '+', '3495867123'),
('LCTFSV89T19H501U', 'Michele', 'Ferrari', '0', '+', '+393409827364'),
('QNGVRE80U20D205V', 'Francesca', 'Gualtieri', 'A', '+', '3338475612'),
('TQSSNM81V21M312W', 'Simone', 'Rosati', '0', '+', '+393318475629'),
('FSLLNT88W22H501Z', 'Giovanna', 'Lombardi', 'A', '-', '3475839201'),
('DNRMNN92X23D205Y', 'Francesco', 'Morandi', '0', '+', '+393384950291'),
('GLLGRV90Y24M312S', 'Claudia', 'Pellegrini', 'A', '+', '3394857261'),
('LSPBRS91Z25L219T', 'Alessandro', 'Rosa', '0', '-', '+393459827364'),
('RCDPLM85A26M312X', 'Giulia', 'Fabbri', 'A', '+', '3338475612'),
('VRGCLS89B27D205W', 'Valerio', 'Gatti', '0', '+', '+393318475629'),
('PTLNCR92C28M312V', 'Giovanni', 'Caruso', 'B', '+', '3495867123'),
('GRSNSS83D29H501T', 'Luca', 'Di Matteo', '0', '+', '+393209847561'),
('NSMRLM94E30L219Y', 'Alessandra', 'Sbaragli', 'A', '+', '3284756192'),
('TFLVSL90F31D205P', 'Alessandra', 'Lanzi', '0', '+', '+393475869201'),
('PLSFRN85G32M312X', 'Chiara', 'Pietrantonio', 'A', '+', '3348576920'),
('GCTSTL86H33L219V', 'Michele', 'Venti', '0', '+', '+393804958671'),
('RZNDNC87I34H501S', 'Sofia', 'Lattanzio', 'A', '+', '3384756291'),
('LBGCNR81J35M312W', 'Simona', 'Delfino', '0', '+', '+393495867123'),
('TLRTNF90K36L219P', 'Francesco', 'Morandi', 'AB', '-', '3409827364'),
('VRTFST83L37D205V', 'Barbara', 'Davanzo', 'A', '+', '+393338475612'),
('FSSGRM84M38H501T', 'Davide', 'Marini', '0', '+', '3318475629'),
('TLRNLN92N39M312Y', 'Alessandro', 'Scalzo', 'A', '+', '+393475839201'),
('PSLNTL89O40D205W', 'Margherita', 'Gallo', '0', '-', '3384950291'),
('VLNNRT85P41M312S', 'Luigi', 'Di Francesco', 'A', '+', '+393394857261'),
('DRGCCM92Q42H501Y', 'Maria', 'Matteucci', '0', '+', '3459827364'),
('LGTSTM83R43D205V', 'Valentina', 'Tarantino', 'B', '+', '+393338475612'),
('FNCNTL91S44M312T', 'Silvia', 'Tano', '0', '+', '3318475629'),
('CMRMNT90T45H501U', 'Lorenzo', 'Baldoni', 'A', '+', '+393495867123'),
('VRTNMT89U46D205Y', 'Claudia', 'Novelli', '0', '+', '3209847561'),
('PNTGRV87V47M312S', 'Elisa', 'Maggi', 'A', '-', '+393284756192'),
('TLDGNS92W48H501P', 'Giulia', 'Fabiano', '0', '+', '3475869201'),
('QRMRTS80X49D205V', 'Arianna', 'Vismara', 'A', '+', '+393348576920'),
('GRDPRN81Y50M312T', 'Laura', 'Mottola', '0', '+', '3804958671'),
('TPNCLM92Z51H501S', 'Giovanni', 'Catania', 'A', '+', '+393384756291'),
('VLNRLN83A52D205W', 'Raffaella', 'Sarti', '0', '+', '3495867123'),
('RMPGNN89B53M312Y', 'Diana', 'Tufano', 'A', '+', '+393409827364'),
('FNSVCL91C54H501T', 'Sabrina', 'Mazzitelli', '0', '-', '3338475612'),
('LRDFTL90D55M312X', 'Marco', 'Pansini', 'A', '+', '+393318475629'),
('RTTSPT91E56H501V', 'Sofia', 'Maggi', '0', '+', '3475839201'),
('PLNFNT88F57D205Z', 'Francesco', 'Santos', 'B', '+', '+393384950291'),
('QZGMLC92G58M312S', 'Michele', 'Bordoni', 'A', '+', '3394857261'),
('GCTMLM85H59L219V', 'Antonio', 'Dini', '0', '+', '+393459827364'),
('FRMLRT94I60D205Y', 'Simone', 'Antonacci', 'A', '+', '3338475612'),
('BNGRNS92J61H501T', 'Giovanna', 'Lembo', '0', '+', '+393318475629'),
('QSLNRR81K62M312W', 'Giovanni', 'Cappiello', 'A', '+', '3495867123'),
('RCDLLG90L63D205X', 'Laura', 'Piazzolla', '0', '+', '+393209847561'),
('BRRRSS80M64L219P', 'Francesca', 'Farina', 'A', '-', '3284756192'),
('LPGVRT82N65H501V', 'Sofia', 'Meschini', '0', '+', '+393475869201'),
('VGLRTS94P66D205Y', 'Giorgio', 'Caterini', 'A', '+', '3348576920'),
('TNNGRM83Q67M312V', 'Michele', 'Giordano', '0', '-', '+393804958671'),
('RSPNRT85R68L219T', 'Barbara', 'Falcone', 'A', '+', '3384756291'),
('PLSMLT91S69H501P', 'Giuliana', 'Minervini', '0', '+', '+393495867123'),
('GRNTCV90T70M312Y', 'Francesco', 'Lemmi', 'B', '+', '3409827364'),
('CTLSMN92U71D205W', 'Lucia', 'Vairo', 'A', '+', '+393338475612'),
('VLRNSM94V72M312X', 'Giorgia', 'Ruzzi', '0', '+', '3318475629'),
('RLTLNS88W73H501Z', 'Francesca', 'Sanna', 'A', '+', '+393475839201'),
('TMSPSP83X74D205Y', 'Giovanni', 'Tava', '0', '+', '3384950291'),
('NSGMNT84Y75M312W', 'Emanuela', 'Marzoli', 'A', '+', '+393394857261'),
('TFTMSN87Z76H501V', 'Claudia', 'Siciliani', '0', '+', '3459827364'),
('QHSDRC85A77D205X', 'Michele', 'Vernazza', 'A', '+', '+393338475612'),
('RDLNSM90B78M312T', 'Lorenzo', 'Nascimbeni', '0', '-', '3318475629'),
('TBLRNT91C79D205Y', 'Alessandro', 'Manzoli', 'A', '+', '+393495867123'),
('MNGTVS92D80M312W', 'Carla', 'Focaccia', '0', '+', '3209847561'),
('QMSRSN83E81H501T', 'Giorgio', 'Tanturli', 'A', '+', '+393284756192'),
('GPCFNR84F82D205P', 'Simone', 'Battaglia', '0', '+', '3475869201'),
('BPCFRA80A01D205X', 'Francesca', 'Bianchi', 'B', '+', '+393348576920'),
('GELSMN82B02M312W', 'Giulia', 'Rossi', '0', '+', '3804958671'),
('MKLNTR83C03L219V', 'Luigi', 'Verdi', 'A', '-', '+393384756291'),
('LGTZRP84D04H501Y', 'Michele', 'Moretti', '0', '+', '3495867123'),
('VNTRNF85E05D205W', 'Giorgio', 'Conti', 'A', '+', '+393409827364'),
('PCTGFR86F06M312S', 'Martina', 'Ferrari', '0', '+', '3338475612'),
('QZCLRD87G07L219T', 'Simona', 'Serri', 'A', '+', '+393318475629'),
('HBCMNT88H08D205X', 'Alessandra', 'Gatti', '0', '+', '3475839201'),
('RJSFRN89I09M312V', 'Francesco', 'Giordano', 'A', '+', '+393384950291'),
('NDCSLF80J10H501P', 'Diana', 'Sartori', '0', '-', '3394857261'),
('MTGRLF81K11D205W', 'Beatrice', 'Lombardi', 'A', '+', '+393459827364'),
('LPNLVR82L12M312X', 'Giovanni', 'Pereira', '0', '+', '3338475612'),
('QMGNMR83M13H501T', 'Riccardo', 'Marchesi', 'B', '+', '+393318475629'),
('RVFCLN84N14D205Y', 'Stefano', 'Russo', 'A', '+', '3495867123'),
('BMLTBR85O15M312W', 'Barbara', 'De Santis', '0', '+', '+393209847561'),
('PGFNVR86P16L219Z', 'Lucia', 'Ferrara', 'A', '+', '3284756192'),
('NDTFRN87Q17D205X', 'Matteo', 'Pellizzari', '0', '+', '+393475869201'),
('TGVLRT88R18M312S', 'Elena', 'Vitali', 'A', '+', '3348576920'),
('JSNFHR89S19L219P', 'Alessandro', 'Masi', '0', '+', '+393804958671'),
('RLTFFMR80T20D205W', 'Luca', 'Rizzo', 'A', '-', '3384756291'),
('GPMNSM81U21H501V', 'Giorgia', 'Giordano', '0', '+', '+393495867123'),
('ZDRQCN82V22M312X', 'Sabrina', 'Perrone', 'B', '-', '3409827364'),
('KTRLRR83W23L219T', 'Federico', 'Lombardo', 'A', '+', '+393338475612'),
('FGRFTN84X24D205Y', 'Francesca', 'Caruso', '0', '+', '3318475629'),
('JTHGNG85Y25M312S', 'Giuliana', 'Ruggiero', 'A', '+', '+393475839201'),
('VFTGRS86Z26H501T', 'Marco', 'Santoro', '0', '-', '3384950291'),
('WBQNLT87A27D205X', 'Antonio', 'Gennaro', 'A', '+', '+393394857261'),
('MCNSNM88B28M312W', 'Michele', 'Giuliani', '0', '+', '3459827364'),
('RBFNFR89C29L219V', 'Alessandra', 'Sanna', 'A', '+', '+393338475612'),
('QJLRRS90D30H501P', 'Francesco', 'Carbone', '0', '+', '3318475629'),
('TMSGRN81E31D205W', 'Giovanni', 'Morandi', 'B', '+', '+393495867123'),
('PFFHMS82F32M312X', 'Luca', 'Ferrari', 'A', '+', '3209847561'),
('RLGTLT83G33L219T', 'Michele', 'Ruggiero', '0', '+', '+393284756192'),
('DGSNMM84H34D205X', 'Stefano', 'Fabbri', 'A', '+', '3475869201'),
('BLRMSN85I35M312W', 'Chiara', 'Ricci', '0', '+', '+393348576920'),
('KFTGRN86J36L219V', 'Sabrina', 'Giordano', 'A', '-', '3804958671'),
('MDVLMT87K37D205Y', 'Valentina', 'Santoro', '0', '+', '+393384756291'),
('QFSNTL88L38M312S', 'Luca', 'Marini', 'A', '+', '3495867123'),
('PRJHRF89M39D205W', 'Alessio', 'Ferrari', '0', '+', '+393409827364'),
('GSNFNL80N40H501V', 'Giulia', 'D’Amico', 'A', '+', '3338475612'),
('NLSRTT81O41D205Y', 'Francesco', 'Tarantino', '0', '-', '+393318475629'),
('TLPMLT82P42M312X', 'Vincenzo', 'Longo', 'A', '+', '3475839201'),
('VRGNSF83Q43L219T', 'Alessandra', 'Monaco', '0', '+', '+393384950291'),
('VHGMSF84R44D205X', 'Luca', 'Sarti', 'B', '+', '3394857261'),
('RHGFML85S45M312W', 'Simone', 'Graziani', '0', '+', '+393459827364'),
('LDNCTF86T46L219V', 'Giorgio', 'Bianchi', 'A', '+', '3338475612'),
('JLMNTT87U47D205Y', 'Federica', 'Pellegrini', '0', '+', '+393318475629'),
('BQMPFV88V48M312S', 'Paola', 'Giordano', 'A', '+', '3495867123'),
('TCLQNT89W49L219T', 'Alessandro', 'Giovannini', '0', '+', '+393209847561'),
('NMMFST80X50D205X', 'Giovanni', 'Fusco', 'A', '-', '3284756192'),
('GSNVRR81Y51M312W', 'Francesca', 'Cipriani', '0', '+', '+393475869201'),
('LQNGRN82Z52H501T', 'Riccardo', 'Tavano', 'A', '+', '3348576920'),
('JSTGLT83A53D205Y', 'Alessandra', 'Cavallini', '0', '+', '+393804958671'),
('WLHRMR84B54M312S', 'Marco', 'Guerra', 'A', '+', '3384756291'),
('RPVQNT85C55L219V', 'Laura', 'Ricci', '0', '-', '+393495867123'),
('MTFGSN86D56D205X', 'Andrea', 'Lucchesi', 'B', '+', '3409827364'),
('QJLRLN80A01D205X', 'Giulia', 'Bianchi', '0', '+', '+393338475612'),
('FMKNSM81B02M312W', 'Francesco', 'Galli', 'A', '+', '3318475629'),
('GJLRMT82C03L219V', 'Michele', 'Cavalli', '0', '+', '+393475839201'),
('RBLVTR83D04H501T', 'Alessandra', 'Ferrari', 'A', '+', '3384950291'),
('SDNTFR84E05D205W', 'Lucia', 'Ricci', '0', '+', '+393394857261'),
('TQNGRS85F06M312S', 'Valentina', 'Sartori', 'A', '-', '3459827364'),
('LGFMSN86G07L219T', 'Barbara', 'Cipriani', '0', '+', '+393338475612'),
('RBFRLT87H08D205X', 'Simona', 'Lombardi', 'A', '+', '3318475629'),
('MLPRNT88I09M312W', 'Andrea', 'Tarantino', '0', '+', '+393495867123'),
('PCNSMR89J10H501V', 'Francesco', 'Della Rosa', 'B', '+', '3209847561'),
('SDNCLM80K11D205Y', 'Giorgia', 'Pellegrini', '0', '-', '+393284756192'),
('LRTGMS81L12M312X', 'Riccardo', 'Morandi', 'A', '+', '3475869201'),
('TJNGRV82M13L219T', 'Stefano', 'Masi', '0', '+', '+393348576920'),
('MNFGTR83N14D205W', 'Alessio', 'Cameron', 'A', '+', '3804958671'),
('PQZLNT84O15M312V', 'Giovanni', 'Rosati', '0', '+', '+393384756291'),
('RLBMNT85P16L219V', 'Simona', 'Bertoli', 'A', '+', '3495867123'),
('DGFQNT86Q17D205X', 'Luca', 'Falcone', '0', '+', '+393409827364'),
('GRLTNS87R18M312W', 'Chiara', 'Giordano', 'A', '-', '3338475612'),
('NSDFLR88S19L219T', 'Matteo', 'Bianchi', '0', '+', '+393318475629'),
('FSKLTR89T20D205Y', 'Alessandra', 'Santoro', 'A', '+', '3475839201'),
('GMDPNT80U21M312S', 'Giovanni', 'Lombardo', '0', '+', '+393384950291'),
('QLNTRT81V22L219V', 'Francesca', 'Neri', 'B', '+', '3394857261'),
('SHVTRN82W23D205X', 'Stefano', 'Mancini', '0', '-', '+393459827364'),
('FMBVNR83X24M312V', 'Simona', 'Fioretti', 'A', '+', '3338475612'),
('DGFSMT84Y25L219T', 'Marco', 'Vitali', '0', '+', '+393318475629'),
('PNMFTR85Z26D205W', 'Alessia', 'Montagna', 'A', '+', '3495867123'),
('JGNPRT86A27M312X', 'Giovanni', 'Galli', '0', '+', '+393209847561'),
('QLVRNT87B28L219V', 'Francesco', 'Lombardi', 'A', '+', '3284756192'),
('RNMGNT88C29D205Y', 'Alessandra', 'Giordano', '0', '+', '+393475869201'),
('PCFNTL89D30M312S', 'Luca', 'Guerra', 'A', '-', '3348576920'),
('FJSNTN80E31L219T', 'Simone', 'Vitali', '0', '+', '+393804958671'),
('BNFGRS81F32D205X', 'Francesco', 'Ruggeri', 'B', '+', '3384756291'),
('GHTRNL82G33M312W', 'Giorgia', 'Caputo', '0', '+', '+393495867123'),
('SMLNSR83H34L219V', 'Matteo', 'Monaco', 'A', '+', '3409827364'),
('RSFMSN84I35D205Y', 'Alessandra', 'Neri', '0', '-', '+393338475612'),
('GNLVRT85J36M312S', 'Riccardo', 'Cavaliere', 'A', '+', '3318475629'),
('LPMFNT86K37L219V', 'Luca', 'Giuliani', '0', '+', '+393475839201'),
('JHRTNF87L38D205X', 'Francesca', 'Neri', 'A', '+', '3384950291'),
('TGFTSR88M39M312W', 'Simone', 'Martino', '0', '+', '+393394857261'),
('LPTVNS89N40L219T', 'Michela', 'Lombardi', 'A', '-', '3459827364'),
('DFRMSR80O41D205Y', 'Elena', 'Verdi', '0', '+', '+393338475612'),
('QWGNNS81P42M312S', 'Andrea', 'Fabbri', 'B', '+', '3318475629'),
('SHVMTT82Q43L219V', 'Barbara', 'Lombardi', '0', '+', '+393495867123'),
('RPGNTL83R44D205W', 'Giovanni', 'Ricci', 'A', '+', '3209847561'),
('MGNSTN84S45M312X', 'Francesco', 'Zuccarelli', '0', '-', '+393284756192'),
('PBFGNN85T46L219T', 'Giorgio', 'Gatti', 'A', '+', '3475869201'),
('DFLNTN86U47M312S', 'Riccardo', 'Filippo', '0', '+', '+393348576920'),
('TNSMNT87V48D205Y', 'Simona', 'Ricci', 'A', '+', '3804958671'),
('PSGRNR88W49L219V', 'Luca', 'Giorgi', '0', '+', '+393384756291'),
('QSNRMT89X50M312W', 'Stefano', 'Lombardi', 'A', '-', '3495867123'),
('PRGRNS80A01D205X', 'Giorgio', 'Tarantino', '0', '+', '+393409827364'),
('MLGRNT81B02M312W', 'Francesca', 'Bordoni', 'B', '+', '3338475612'),
('QFSRNT82C03L219V', 'Matteo', 'Delfino', '0', '+', '+393318475629'),
('DPTVNS83D04H501T', 'Simona', 'Geraci', 'A', '+', '3475839201'),
('LNMTNT84E05D205W', 'Giovanni', 'Falcone', '0', '-', '+393384950291'),
('TCLBNT85F06M312S', 'Alessandra', 'Fabbri', 'A', '+', '3394857261'),
('MFNSLT86G07L219T', 'Barbara', 'Neri', '0', '+', '+393459827364'),
('RJMTTR87H08D205X', 'Riccardo', 'Galli', 'A', '+', '3338475612'),
('SLVRTN88I09M312W', 'Michele', 'Giorgi', '0', '+', '+393318475629'),
('PFGNTL89J10H501V', 'Stefano', 'Cavalli', 'A', '-', '3495867123'),
('QNLBNR80K11D205Y', 'Francesco', 'Martino', '0', '+', '+393209847561'),
('GMSNTR81L12M312X', 'Simona', 'Lombardi', 'B', '+', '3284756192'),
('DPTNRV82M13L219T', 'Giovanni', 'Morandi', '0', '+', '+393475869201'),
('LVFTRN83N14D205W', 'Alessandra', 'Sanna', 'A', '+', '3348576920'),
('RHGMNT84O15M312V', 'Riccardo', 'Gianluca', '0', '-', '+393804958671'),
('FQGRNT85P16L219V', 'Barbara', 'Cipriani', 'A', '+', '3384756291'),
('QJRTNS86Q17D205X', 'Matteo', 'Coppola', '0', '+', '+393495867123'),
('GFMNNT87R18M312S', 'Giovanni', 'Verdi', 'A', '+', '3409827364'),
('SNRGNT88S19L219T', 'Simona', 'Bianchi', '0', '+', '+393338475612'),
('PHTRNS89T20D205Y', 'Alessandro', 'Cipriani', 'A', '-', '3318475629'),
('MFNSNR80U21M312W', 'Francesco', 'Galli', '0', '+', '+393475839201'),
('JRTNTN81V22L219V', 'Giovanni', 'Lombardi', 'B', '+', '3384950291'),
('PTSNMT82W23D205X', 'Riccardo', 'Verdi', '0', '-', '+393394857261'),
('LTNRNT83X24M312S', 'Giorgia', 'Grandi', 'A', '+', '3459827364'),
('MNSNMT84Y25L219T', 'Barbara', 'Moretti', '0', '+', '+393338475612'),
('PNFTRN85Z26D205W', 'Simone', 'Gatto', 'A', '+', '3318475629'),
('MGNTLT87B28L219V', 'Giovanni', 'Gerardi', '0', '+', '+393495867123'),
('GPRBNT88C29D205X', 'Francesca', 'Bianchi', 'A', '-', '3209847561'),
('LMNTNT89D30M312W', 'Alessandro', 'Neri', '0', '+', '+393284756192'),
('VPTGRN80E31L219V', 'Riccardo', 'Grilli', 'A', '+', '3475869201'),
